"id","style","genre_id"
"MA0000012238","Computer Music","MA0000012170"
"MA0000011891","Conceptual Art","MA0000012170"
"MA0000012269","Creative Orchestra","MA0000012170"
"MA0000013655","Drone","MA0000012170"
"MA0000002582","Experimental","MA0000012170"
"MA0000004486","Free Improvisation","MA0000012170"
"MA0000012076","Improvisation","MA0000012170"
"MA0000012082","Microtonal","MA0000012170"
"MA0000012315","Minimalism","MA0000012170"
"MA0000012251","Mixed Media","MA0000012170"
"MA0000012083","Modern Composition","MA0000012170"
"MA0000012155","Musique Actuelle","MA0000012170"
"MA0000012319","Musique Concrète","MA0000012170"
"MA0000012085","Noise","MA0000012170"
"MA0000013659","Plunderphonics","MA0000012170"
"MA0000012358","Post-Minimalism","MA0000012170"
"MA0000012126","Process-Generated","MA0000012170"
"MA0000012158","Radio Works","MA0000012170"
"MA0000011958","Sound Art","MA0000012170"
"MA0000011959","Sound Collage","MA0000012170"
"MA0000012289","Sound Sculpture","MA0000012170"
"MA0000012162","Structured Improvisation","MA0000012170"
"MA0000012196","Tape Music","MA0000012170"
"MA0000012058","Acoustic Blues","MA0000002467"
"MA0000012059","Acoustic Chicago Blues","MA0000002467"
"MA0000011879","Acoustic Louisiana Blues","MA0000002467"
"MA0000012060","Acoustic Memphis Blues","MA0000002467"
"MA0000011966","Acoustic New Orleans Blues","MA0000002467"
"MA0000011999","Acoustic Texas Blues","MA0000002467"
"MA0000011814","Blues Gospel","MA0000002467"
"MA0000012232","Blues Revival","MA0000002467"
"MA0000002504","Chicago Blues","MA0000002467"
"MA0000002517","Classic Blues Vocals","MA0000002467"
"MA0000004403","Classic Female Blues","MA0000002467"
"MA0000002960","Contemporary Blues","MA0000002467"
"MA0000002533","Country Blues","MA0000002467"
"MA0000002549","Delta Blues","MA0000002467"
"MA0000012039","Detroit Blues","MA0000002467"
"MA0000012302","Dirty Blues","MA0000002467"
"MA0000011898","Early American Blues","MA0000002467"
"MA0000011899","East Coast Blues","MA0000002467"
"MA0000004405","Electric Blues","MA0000002467"
"MA0000012241","Electric Chicago Blues","MA0000002467"
"MA0000012304","Electric Country Blues","MA0000002467"
"MA0000011900","Electric Delta Blues","MA0000002467"
"MA0000011822","Electric Harmonica Blues","MA0000002467"
"MA0000012173","Electric Memphis Blues","MA0000002467"
"MA0000012340","Electric Texas Blues","MA0000002467"
"MA0000011975","Finger-Picked Guitar","MA0000002467"
"MA0000012042","Folk-Blues","MA0000002467"
"MA0000002404","Harmonica Blues","MA0000002467"
"MA0000011827","Jazz Blues","MA0000002467"
"MA0000011940","Juke Joint Blues","MA0000002467"
"MA0000012017","Louisiana Blues","MA0000002467"
"MA0000012183","Memphis Blues","MA0000002467"
"MA0000012184","Modern Acoustic Blues","MA0000002467"
"MA0000002730","Modern Blues","MA0000002467"
"MA0000011988","Modern Delta Blues","MA0000002467"
"MA0000011944","Modern Electric Blues","MA0000002467"
"MA0000012316","Modern Electric Chicago Blues","MA0000002467"
"MA0000012354","Modern Electric Texas Blues","MA0000002467"
"MA0000012283","New Orleans Blues","MA0000002467"
"MA0000012219","New York Blues","MA0000002467"
"MA0000002405","Piano Blues","MA0000002467"
"MA0000011990","Piedmont Blues","MA0000002467"
"MA0000002794","Pre-War Blues","MA0000002467"
"MA0000011871","Pre-War Country Blues","MA0000002467"
"MA0000012359","Pre-War Gospel Blues","MA0000002467"
"MA0000002821","Regional Blues","MA0000002467"
"MA0000004404","Slide Guitar Blues","MA0000002467"
"MA0000012093","Songster","MA0000002467"
"MA0000004996","Soul-Blues","MA0000002467"
"MA0000012094","St. Louis Blues","MA0000002467"
"MA0000002884","Swamp Blues","MA0000002467"
"MA0000002899","Texas Blues","MA0000002467"
"MA0000004995","Traditional Blues","MA0000002467"
"MA0000012096","Urban Blues","MA0000002467"
"MA0000011921","Vaudeville Blues","MA0000002467"
"MA0000012030","West Coast Blues","MA0000002467"
"MA0000012293","Work Songs","MA0000002467"
"MA0000012204","Children's Folk","MA0000002944"
"MA0000012171","Children's Pop","MA0000002944"
"MA0000011889","Children's Rock","MA0000002944"
"MA0000004410","Children's Songwriters","MA0000002944"
"MA0000004409","Educational","MA0000002944"
"MA0000012072","Fairy Tales","MA0000002944"
"MA0000013406","Instrumental Children's Music","MA0000002944"
"MA0000004408","Lullabies","MA0000002944"
"MA0000012087","Nursery Rhymes","MA0000002944"
"MA0000004407","Sing-Alongs","MA0000002944"
"MA0000004406","Stories","MA0000002944"
"MA0000004930","Avant-Garde Music","MA0000002521"
"MA0000004505","Ballet","MA0000002521"
"MA0000004501","Band Music","MA0000002521"
"MA0000004500","Chamber Music","MA0000002521"
"MA0000004509","Choral","MA0000002521"
"MA0000004504","Classical Crossover","MA0000002521"
"MA0000012338","Concerto","MA0000002521"
"MA0000004507","Electronic/Computer Music","MA0000002521"
"MA0000012341","Fight Songs","MA0000002521"
"MA0000012306","Film Score","MA0000002521"
"MA0000011828","Keyboard","MA0000002521"
"MA0000002711","Marches","MA0000002521"
"MA0000011943","Military","MA0000002521"
"MA0000012215","Miscellaneous (Classical)","MA0000002521"
"MA0000004512","Opera","MA0000002521"
"MA0000004499","Orchestral","MA0000002521"
"MA0000004506","Show/Musical","MA0000002521"
"MA0000012291","Symphony","MA0000002521"
"MA0000004520","Vocal Music","MA0000002521"
"MA0000012331","Beat Poetry","MA0000004433"
"MA0000012065","Blue Humor","MA0000004433"
"MA0000012337","Christian Comedy","MA0000004433"
"MA0000002525","Comedy","MA0000004433"
"MA0000012206","Comedy Rap","MA0000004433"
"MA0000012139","Comedy Rock","MA0000004433"
"MA0000012239","Country Comedy","MA0000004433"
"MA0000012006","Documentary","MA0000004433"
"MA0000011896","Drama","MA0000004433"
"MA0000011932","Erotica","MA0000004433"
"MA0000012110","Ethnic Comedy","MA0000004433"
"MA0000012273","Fantasy","MA0000004433"
"MA0000011934","Gay Comedy","MA0000004433"
"MA0000011858","Instructional","MA0000004433"
"MA0000002662","Interview","MA0000004433"
"MA0000011984","Latin Comedy","MA0000004433"
"MA0000011945","Morning Radio","MA0000004433"
"MA0000002736","Music Comedy","MA0000004433"
"MA0000012086","Novelty","MA0000004433"
