"album_id","album_name","duration","release_date","all_music_rating","url"
"mw0003533754","complete atlantic/elektra albums 1962-1983","07:07:32",2021-07-30,10,"https://www.allmusic.com/album/complete-atlantic-elektra-albums-1962-1983-mw0003533754"
"mw0003444798","first generation 1965-1974","03:36:56",2021-02-12,10,"https://www.allmusic.com/album/first-generation-1965-1974-mw0003444798"
"mw0003524662","hope amid tears: beethoven cello sonatas","02:32:30",2021-06-02,10,"https://www.allmusic.com/album/hope-amid-tears-beethoven-cello-sonatas-mw0003524662"
"mw0003443791","77-81","02:44:36",2021-03-12,10,"https://www.allmusic.com/album/77-81-mw0003443791"
"mw0003475449","the highlights","01:17:29",2021-02-05,9,"https://www.allmusic.com/album/the-highlights-mw0003475449"
"mw0003436858","aretha [2021]","05:10:03",2021-07-30,9,"https://www.allmusic.com/album/aretha-2021--mw0003436858"
"mw0003558835","the lost album from ronnie scott's","02:25:32",2021-12-03,9,"https://www.allmusic.com/album/the-lost-album-from-ronnie-scotts-mw0003558835"
"mw0003560903","christmas carols with the king's singers","01:08:10",2021-09-03,9,"https://www.allmusic.com/album/christmas-carols-with-the-kings-singers-mw0003560903"
"mw0003563746","springtime in new york: the bootleg series, vol. 16 (1980-1985)","04:20:50",2021-09-17,9,"https://www.allmusic.com/album/springtime-in-new-york-the-bootleg-series-vol-16-1980-1985-mw0003563746"
"mw0003617073","kid a mnesia","02:07:50",2021-11-05,9,"https://www.allmusic.com/album/kid-a-mnesia-mw0003617073"
"mw0003502197","reprise","01:10:33",2021-05-28,9,"https://www.allmusic.com/album/reprise-mw0003502197"
"mw0003598993","the legendary 1979 no nukes concerts","01:29:46",2021-11-19,9,"https://www.allmusic.com/album/the-legendary-1979-no-nukes-concerts-mw0003598993"
"mw0003542008","the complete live at the lighthouse","07:31:04",2021-08-20,9,"https://www.allmusic.com/album/the-complete-live-at-the-lighthouse-mw0003542008"
"mw0003475450","neil young archives, vol. 2 (1972-1976)","08:44:47",2021-03-05,9,"https://www.allmusic.com/album/neil-young-archives-vol-2-1972-1976-mw0003475450"
"mw0003477866","something wonderful: peggy lee sings the great american songbook","01:28:11",2021-04-09,9,"https://www.allmusic.com/album/something-wonderful-peggy-lee-sings-the-great-american-songbook-mw0003477866"
"mw0003567799","black art from the black ark","01:21:55",2021-08-27,9,"https://www.allmusic.com/album/black-art-from-the-black-ark-mw0003567799"
