"id","genre"
"ma0000012170","Avant-Garde"
"ma0000002467","Blues"
"ma0000002944","Children's"
"ma0000002521","Classical"
"ma0000004433","Comedy/Spoken"
"ma0000002532","Country"
"ma0000002567","Easy Listening"
"ma0000002572","Electronic"
"ma0000002592","Folk"
"ma0000012075","Holiday"
"ma0000002660","International"
"ma0000002674","Jazz"
"ma0000002692","Latin"
"ma0000002745","New Age"
"ma0000002613","Pop/Rock"
"ma0000002809","R&B"
"ma0000002816","Rap"
"ma0000002820","Reggae"
"ma0000004431","Religious"
"ma0000004432","Stage & Screen"
"ma0000011877","Vocal"
