"id","mood"
"xa0000000694","Aggressive"
"xa0000000695","Angry"
"xa0000000698","Belligerent"
"xa0000000973","Demonic"
"xa0000001001","Fierce"
"xa0000001017","Harsh"
"xa0000001021","Hungry"
"xa0000001041","Malevolent"
"xa0000001045","Menacing"
"xa0000001086","Savage"
"xa0000001114","Suffocating"
"xa0000000777","Threatening"
"xa0000001135","Visceral"
"xa0000001136","Volatile"
"xa0000000932","Airy"
"xa0000000941","Atmospheric"
"xa0000000953","Brittle"
"xa0000000709","Dreamy"
"xa0000000979","Druggy"
"xa0000000993","Ethereal"
"xa0000000711","Euphoric"
"xa0000000713","Flowing"
"xa0000000719","Hypnotic"
"xa0000001051","Narcotic"
"xa0000001054","Nocturnal"
"xa0000001450","Radiant"
"xa0000001092","Shimmering"
"xa0000001101","Spacey"
"xa0000001124","Transparent/Translucent"
"xa0000000749","Trippy"
"xa0000000942","Austere"
"xa0000000701","Calm/Peaceful"
"xa0000000707","Detached"
"xa0000001032","Laid-Back/Mellow"
"xa0000001033","Languid"
"xa0000001034","Lazy"
"xa0000000755","Relaxed"
"xa0000001097","Soft/Quiet"
"xa0000001099","Soothing"
"xa0000001130","Understated"
"xa0000000936","Angular"
"xa0000000939","Arid"
"xa0000000959","Cerebral"
"xa0000000964","Complex"
"xa0000000976","Difficult"
"xa0000001438","Dissonant"
"xa0000001004","Fractured"
"xa0000000750","Pulsing"
"xa0000000766","Serious"
"xa0000001447","Spacious"
"xa0000001103","Sparse"
"xa0000000949","Brash"
"xa0000000950","Brassy"
"xa0000000951","Bravado"
"xa0000000748","Confident"
"xa0000000706","Defiant"
"xa0000000996","Extroverted"
"xa0000001015","Gutsy"
"xa0000000736","Mighty"
"xa0000001060","Outrageous"
"xa0000000747","Powerful"
"xa0000001070","Provocative"
"xa0000001075","Rebellious"
"xa0000001078","Resolute"
"xa0000001095","Slick"
"xa0000001126","Triumphant"
"xa0000001129","Uncompromising"
"xa0000001134","Virile"
"xa0000001437","Cute"
"xa0000001009","Giddy"
"xa0000001050","Naive"
"xa0000000724","Perky"
"xa0000001067","Playful"
"xa0000001442","Quaint"
"xa0000000743","Quirky"
"xa0000001093","Silly"
"xa0000001109","Sprightly"
"xa0000001140","Whimsical"
"xa0000001143","Witty"
"xa0000000931","Acerbic"
"xa0000000956","Capricious"
"xa0000000969","Cynical/Sarcastic"
"xa0000000723","Ironic"
"xa0000001028","Irreverent"
"xa0000001083","Sarcastic"
"xa0000001084","Sardonic"
"xa0000001085","Satirical"
"xa0000000767","Snide"
"xa0000001144","Wry"
"xa0000000945","Bitter"
"xa0000000947","Bleak"
"xa0000000954","Brooding"
"xa0000000963","Cold"
"xa0000000970","Dark"
"xa0000000985","Eerie"
"xa0000001007","Funereal"
"xa0000000714","Gloomy"
"xa0000001013","Grim"
"xa0000001026","Insular"
"xa0000000740","Negative"
"xa0000001053","Nihilistic"
"xa0000001055","Ominous"
"xa0000001123","Tragic"
"xa0000000971","Declamatory"
"xa0000000708","Dramatic"
"xa0000000983","Eccentric"
"xa0000000998","Fantastic/Fantasy-like"
"xa0000001019","Heroic"
"xa0000001039","Macabre"
"xa0000001040","Magical"
"xa0000000738","Mysterious"
"xa0000000739","Mystical"
"xa0000000762","Scary"
"xa0000001090","Severe"
"xa0000001107","Spooky"
"xa0000001117","Suspenseful"
"xa0000001120","Theatrical"
"xa0000000961","Circular"
"xa0000000962","Clinical"
"xa0000000978","Driving"
"xa0000000731","Mechanical"
"xa0000001049","Motoric"
"xa0000000775","Technical"
"xa0000001005","Freewheeling"
"xa0000001023","Improvisatory"
"xa0000001024","Indulgent"
"xa0000001449","Loose"
"xa0000001044","Meandering"
"xa0000001046","Messy"
"xa0000001072","Ramshackle"
"xa0000000752","Reckless"
"xa0000001087","Scattered"
"xa0000001106","Spontaneous"
"xa0000001108","Sprawling"
"xa0000000774","Swinging"
"xa0000000937","Animated"
"xa0000000955","Campy"
"xa0000000702","Carefree"
"xa0000000957","Cartoonish"
"xa0000000704","Cheerful"
"xa0000000705","Comic"
"xa0000000982","Ebullient"
"xa0000000986","Effervescent"
"xa0000000994","Exciting"
"xa0000000997","Exuberant"
"xa0000001006","Fun"
"xa0000001010","Gleeful"
"xa0000001016","Happy"
"xa0000000717","Humorous"
"xa0000000725","Jovial"
"xa0000001029","Joyous"
"xa0000000938","Apocalyptic"
"xa0000000958","Cathartic"
"xa0000000966","Confrontational"
"xa0000000968","Crunchy"
"xa0000000700","Explosive"
"xa0000000999","Feral"
"xa0000001000","Feverish"
