"album_id","mood_id"
"mw0003533754","xa0000000959"
"mw0003533754","xa0000000981"
"mw0003533754","xa0000000722"
"mw0003533754","xa0000001028"
"mw0003533754","xa0000001032"
"mw0003533754","xa0000001036"
"mw0003533754","xa0000001067"
"mw0003533754","xa0000000753"
"mw0003533754","xa0000001080"
"mw0003533754","xa0000001143"
"mw0003533754","xa0000000988"
"mw0003533754","xa0000001144"
"mw0003533754","xa0000000969"
"mw0003533754","xa0000001100"
"mw0003533754","xa0000000958"
"mw0003533754","xa0000000743"
"mw0003444798","xa0000001005"
"mw0003444798","xa0000001014"
"mw0003444798","xa0000001057"
"mw0003444798","xa0000001080"
"mw0003444798","xa0000000748"
"mw0003444798","xa0000000980"
"mw0003444798","xa0000000759"
"mw0003444798","xa0000001118"
"mw0003444798","xa0000000694"
"mw0003444798","xa0000000699"
"mw0003444798","xa0000000708"
"mw0003444798","xa0000000981"
"mw0003444798","xa0000001062"
"mw0003444798","xa0000000757"
"mw0003444798","xa0000001081"
"mw0003444798","xa0000000934"
"mw0003444798","xa0000000997"
"mw0003444798","xa0000000733"
"mw0003444798","xa0000000954"
"mw0003444798","xa0000001067"
"mw0003444798","xa0000001073"
"mw0003444798","xa0000001113"
"mw0003524662","xa0000000954"
"mw0003524662","xa0000000990"
"mw0003524662","xa0000001023"
"mw0003524662","xa0000000721"
"mw0003524662","xa0000001038"
"mw0003524662","xa0000001067"
"mw0003524662","xa0000001138"
"mw0003443791","xa0000000953"
"mw0003443791","xa0000000969"
"mw0003443791","xa0000000721"
"mw0003443791","xa0000000695"
"mw0003443791","xa0000000935"
"mw0003443791","xa0000001002"
"mw0003443791","xa0000001036"
"mw0003443791","xa0000001061"
"mw0003443791","xa0000000756"
"mw0003443791","xa0000000966"
"mw0003443791","xa0000000759"
"mw0003443791","xa0000001135"
"mw0003443791","xa0000000931"
"mw0003443791","xa0000000694"
"mw0003443791","xa0000000990"
"mw0003443791","xa0000001017"
"mw0003443791","xa0000001042"
