"album_id","style_id"
"mw0003533754","ma0000002634"
"mw0003533754","ma0000011827"
"mw0003533754","ma0000002948"
"mw0003533754","ma0000002405"
"mw0003444798","ma0000002482"
"mw0003444798","ma0000012058"
"mw0003444798","ma0000004405"
"mw0003444798","ma0000002404"
"mw0003444798","ma0000002730"
"mw0003444798","ma0000002821"
"mw0003524662","ma0000004500"
"mw0003443791","ma0000002750"
"mw0003443791","ma0000004450"
"mw0003443791","ma0000011872"
"mw0003443791","ma0000012069"
"mw0003475449","ma0000013375"
"mw0003475449","ma0000002969"
"mw0003475449","ma0000012254"
"mw0003436858","ma0000011850"
"mw0003436858","ma0000002865"
"mw0003436858","ma0000002877"
"mw0003436858","ma0000011926"
"mw0003558835","ma0000005010"
"mw0003558835","ma0000012362"
"mw0003558835","ma0000002438"
"mw0003560903","ma0000004509"
"mw0003560903","ma0000012332"
"mw0003560903","ma0000011929"
"mw0003563746","ma0000004443"
"mw0003563746","ma0000002829"
"mw0003563746","ma0000002855"
"mw0003563746","ma0000004459"
"mw0003617073","ma0000002422"
"mw0003617073","ma0000012230"
"mw0003617073","ma0000012275"
"mw0003617073","ma0000002583"
"mw0003502197","ma0000004488"
"mw0003502197","ma0000012230"
"mw0003598993","ma0000002829"
"mw0003598993","ma0000004443"
"mw0003598993","ma0000004459"
"mw0003598993","ma0000012246"
"mw0003598993","ma0000002855"
"mw0003542008","ma0000002634"
"mw0003542008","ma0000011865"
"mw0003542008","ma0000002866"
"mw0003542008","ma0000002947"
"mw0003542008","ma0000002485"
"mw0003475450","ma0000004459"
"mw0003475450","ma0000004443"
"mw0003475450","ma0000002536"
"mw0003475450","ma0000002636"
"mw0003475450","ma0000002855"
"mw0003477866","ma0000011997"
"mw0003477866","ma0000002961"
"mw0003477866","ma0000002948"
"mw0003477866","ma0000002852"
"mw0003477866","ma0000004423"
"mw0003477866","ma0000002787"
"mw0003567799","ma0000002559"
"mw0003567799","ma0000002836"
"mw0003576315","ma0000002556"
"mw0003576315","ma0000002763"
"mw0003576315","ma0000012166"
"mw0003576315","ma0000012034"
"mw0003576315","ma0000011870"
"mw0003576315","ma0000002865"
"mw0003576315","ma0000002520"
"mw0003537890","ma0000012291"
"mw0003539186","ma0000004445"
"mw0003539186","ma0000002852"
"mw0003539186","ma0000011874"
"mw0003539186","ma0000002787"
"mw0003539186","ma0000002767"
"mw0003539186","ma0000012216"
"mw0003539186","ma0000004506"
"mw0003539186","ma0000011841"
"mw0003357271","ma0000004449"
"mw0003357271","ma0000012230"
"mw0003357271","ma0000004443"
"mw0003357271","ma0000002793"
"mw0003449451","ma0000005020"
"mw0003449451","ma0000002636"
"mw0003449451","ma0000012230"
"mw0003471882","ma0000012230"
"mw0003471882","ma0000004443"
"mw0003471882","ma0000002793"
"mw0003471882","ma0000004449"
"mw0003570078","ma0000002422"
"mw0003570078","ma0000012230"
"mw0003570078","ma0000012069"
"mw0003570078","ma0000011883"
"mw0003570078","ma0000012031"
"mw0003570078","ma0000002544"
"mw0003570078","ma0000002651"
"mw0003536379","ma0000013542"
"mw0003536379","ma0000013576"
"mw0003536379","ma0000011851"
"mw0003522497","ma0000002554"
"mw0003522497","ma0000002559"
"mw0003522497","ma0000011892"
"mw0003522497","ma0000002836"
"mw0003460145","ma0000004499"
"mw0003570088","ma0000002468"
"mw0003570088","ma0000012354"
"mw0003570088","ma0000004457"
"mw0003570088","ma0000004996"
"mw0003570088","ma0000002678"
"mw0003570088","ma0000002730"
"mw0003570088","ma0000011944"
"mw0003570088","ma0000002821"
"mw0003570088","ma0000002899"
